,name,city,country,region,members,fullurl,created,past_events,upcoming_events,visibility,last_event
42,San Diego Data Science & R Users Group,Del Mar,USA,US/Canada,909,https://www.meetup.com/San-Diego-Data-Science-R-Users-Group/,14-10-2009,32,0,public,31-03-2017
43,Abuja R User Group,Abuja,Nigeria,Africa,420,https://www.meetup.com/Abuja-R-User-Group-Meetup/,16-10-2019,13,1,public,01-05-2021
44,PhillyR,Philadelphia,USA,US/Canada,867,https://www.meetup.com/PhillyR/,19-04-2016,18,0,public,15-11-2019
47,CaRdiff - the Cardiff R User Group,Cardiff,United Kingdom,Europe,758,https://www.meetup.com/Cardiff-R-User-Group/,19-12-2014,143,0,public,29-04-2021
48,R User Group Nepal,Kathmandu,Nepal,Asia,184,https://www.meetup.com/rugnepal/,16-09-2018,5,0,public,07-03-2020
49,Central Iowa R User Group,Des Moines,USA,US/Canada,712,https://www.meetup.com/Central-Iowa-R-User-Group/,15-06-2015,270,1,public,05-06-2021
50,R Users & R-Ladies Warsaw (Spotkania Entuzjastów R),Warsaw,Poland,Europe,2850,https://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/,06-10-2014,119,1,public,18-05-2021
51,Nairobi R Users Group,Nairobi,Kenya,Africa,50,https://www.meetup.com/Nairobi-R-Users-Group/,30-03-2017,0,0,public,01-01-1970
52,Cairo R Users Group,Cairo,Egypt,Africa,2230,https://www.meetup.com/Cairo-R-Users-Group/,30-04-2015,5,0,public,06-01-2020
53,Dar Es Salaam R Users Group,Dar es Salaam,Tanzania,Africa,847,https://www.meetup.com/DarEs-Salaam-R-users/,30-04-2015,2,0,public,23-07-2020
54,Budapest Users of R Network,Budapest,Hungary,Europe,1682,https://www.meetup.com/Budapest-Users-of-R-Network/,11-08-2013,57,0,public,29-01-2020
55,"Exeter R Users Group (Exeter, Devon, England)",Exeter,United Kingdom,Europe,244,https://www.meetup.com/Exeter-R-Users-Group-Exeter-Devon-England/,14-01-2014,16,0,public,09-09-2019
56,STWUR - Wroclaw R Users Group Meetup,Wroclaw,Poland,Europe,1117,https://www.meetup.com/Wroclaw-R-Users-Group/,17-01-2017,32,0,public,24-09-2020
57,Cork (Ireland) R-Users Group,Cork,Ireland,Europe,670,https://www.meetup.com/Cork-Ireland-R-Users-Group/,01-07-2015,52,0,public,10-02-2020
58,St. Petersburg R User Group,St. Petersburg,Russia,Europe,1124,https://www.meetup.com/St-Petersburg-R-User-Group/,11-03-2015,17,0,public,11-12-2020
59,Bmore UseR Group,Baltimore,USA,US/Canada,143,https://www.meetup.com/Bmore-UseR-Group/,26-08-2016,1,0,public,20-09-2017
60,Columbus useR Group,Columbus,USA,US/Canada,196,https://www.meetup.com/Columbus-useR-Group/,17-03-2014,3,0,public,28-01-2015
61,Detroit useR Group (R Programming Language),Birmingham,USA,US/Canada,312,https://www.meetup.com/Detroit-useR-Group-R-Programming-Language/,19-06-2013,6,0,public,08-01-2017
62,Tampa R Users Group,Tampa,USA,US/Canada,534,https://www.meetup.com/Tampa-R-Users-Group/,28-07-2017,30,0,public,25-08-2020
63,Western Australia R Group (WARG),Perth,Australia,Australia,183,https://www.meetup.com/Western-Australia-R-Group-WARG/,27-06-2014,9,0,public,21-07-2016
64,Berlin R Users Group,Berlin,Germany,Europe,2198,https://www.meetup.com/Berlin-R-Users-Group/,04-01-2015,60,2,public,31-05-2021
65,Johannesburg R User Group (R Programming Language),Johannesburg,South Africa,Africa,904,https://www.meetup.com/Joburg-R-Users-Group/,03-05-2015,12,0,public,03-12-2020
66,Meetup R Nantes,Nantes,France,Europe,716,https://www.meetup.com/Meetup-R-Nantes/,27-06-2016,23,0,public,02-12-2019
67,NottinghamR - Nottingham R Users Group,Nottingham,United Kingdom,Europe,390,https://www.meetup.com/NottinghamR-Nottingham-R-Users-Group/,08-01-2016,8,0,public_limited,04-11-2020
68,Kiel R User Group,Kiel,Germany,Europe,20,https://www.meetup.com/Kiel-R-User-Group/,22-11-2019,0,0,public,01-01-1970
69,Greater Toronto Area (GTA) R User Group,Toronto,Canada,US/Canada,1484,https://www.meetup.com/Greater-Toronto-Area-GTA-R-Users-Group/,07-10-2010,37,0,public,09-12-2020
70,Pittsburgh useR Group,Pittsburgh,USA,US/Canada,585,https://www.meetup.com/Pittsburgh-useR-Group/,26-03-2013,38,0,public,10-03-2021
71,Santa Barbara R Users Group,Santa Barbara,USA,US/Canada,442,https://www.meetup.com/Santa-Barbara-R-Users-Group/,27-02-2013,27,0,public,21-04-2021
72,Adelaide R Users Group,Adelaide,Australia,Australia,316,https://www.meetup.com/Adelaide-R-Users/,07-11-2016,4,0,public,25-09-2019
73,Greater Boston useR Group (R Programming Language),Boston,USA,US/Canada,4794,https://www.meetup.com/Boston-useR/,10-02-2011,78,2,public,27-05-2021
74,Abidjan R users Meetup,Abidjan,Ivory Coast,Africa,589,https://www.meetup.com/Abidjan-R-users-Meetup/,27-03-2018,9,0,public,25-04-2020
75,Riyadh UseR Group,Riyadh,Saudi Arabia,Asia,396,https://www.meetup.com/Riyadh-UseR-Group/,06-12-2016,1,0,public,15-12-2016
76,Boston R/Bioconductor for Genomics,Boston,USA,US/Canada,821,https://www.meetup.com/Boston-R-Bioconductor-for-genomics/,03-08-2016,21,0,public,05-02-2020
