Session,Title,Speaker,Talk_Type,YouTube,Materials
Social Science,blavaan: An R package for Bayesian structural equation modeling,Ed Merkle,regular,https://youtu.be/zWA43-6taNA,https://drive.google.com/file/d/1CxiRLUvu8TJUEX8DXi5NBlFf8ZMM7PSz/view?usp=sharing
Social Science,sensemakr Sensitivity Analysis Tools for OLS,Carlos Cinelli,regular,https://youtu.be/p3dfHj6ki68,https://drive.google.com/file/d/1u9w2spcq6BIlXdwwrdu-DMCrcUkbU3Sv/view?usp=sharing
Social Science,simpr: concise and readable simulations for the tidyverse,Ethan Brown,regular,https://youtu.be/MkfMSe9re2U,https://drive.google.com/file/d/1THcInWrneSg18W_wRBYMXr-gODTzQjIt/view?usp=sharing
Social Science,Social Categorizations in CRAN data,Simon Couch,lightning,https://youtu.be/TRaY_Fk-26g,https://drive.google.com/file/d/18FvIHnj3COyw-wswgUrWRs0PhC949-xJ/view?usp=sharing
Social Science,Why Social Workers Need Data Science,Gina Griffin,lightning,https://youtu.be/orLyTf5fk4U,https://drive.google.com/file/d/1uoxgrpTUp28_92rfTsaOaWtegqrELomk/view?usp=sharing
Social Science,Word Embeddings and Geometric Deep Learning for Social Network Analysis,Michael Ghisletti,lightning,https://youtu.be/fQatBdVIzOI,https://drive.google.com/file/d/1dyiXm3jqVkGIHsaH8GqqtPA014v1pdAJ/view?usp=sharing
Social Science,Scoring the implicit: The implicitMeasures package,Ottavia Epifania,poster,https://youtu.be/INa426Ru40Y,https://drive.google.com/file/d/1thvgGPjiA7jh0gpiMwOyoHwxDAL5AF0i/view?usp=sharing
Spatial,arcgisbinding: An R package for integrating R in ArcGIS,Orhun Aydin,regular,https://youtu.be/T8ZzJzp0b34,https://drive.google.com/file/d/1aSCO-BGFfOYRhWHHvpriizj3TQAqgpqE/view?usp=sharing
Spatial,bcdata: Reproducible spatial data retrieval from a Geoserver Web Service,Andy Teucher,regular,https://youtu.be/ZNRouw-BmzE,https://drive.google.com/file/d/19Px1HGXfFOIeRGkaBeV__VcIXXx_pekt/view?usp=sharing
Spatial,"Mapping 311 Requests by Community Area in Chicago Using Shiny, Leaflet, and The Tidyverse",Jim Kloet,lightning,https://youtu.be/vsjbcKsORGs,https://drive.google.com/file/d/1CR9bYEDzFYOXw_L7L-1o8c2qjV-eubtD/view?usp=sharing
Spatial,Privacy protected maps using adaptive kernel density estimation,Edwin de Jonge,lightning,https://youtu.be/M10SmUs68x4,https://drive.google.com/file/d/177IsBtxzDGxdsfypdNGzlzHy73q5qKlq/view?usp=sharing
Teaching,Learning R Through Spaced Repetition and the Remembr Package,Daniel Jacobs,regular,https://youtu.be/zgApxtOLMX8,https://drive.google.com/file/d/1GJq0K2B8smwQLzEsQkVOROlXgxouMC4z/view?usp=sharing
Teaching,Moving backwards with R,Aimee Schwab-McCoy,regular,https://youtu.be/hPQwGyc9SGA,https://drive.google.com/file/d/1kn0yYor5c9Leto11hCURTYSUuPJ2gCBs/view?usp=sharing
Teaching,Teaching R with Peer Review and a New Rubric,"Alon Friedman, Zachariah Beasley",regular,https://youtu.be/x8l9DGx4SKc,https://drive.google.com/file/d/1b-tn5WCnM8SymMxaJhKrAJIiLPXxq0_o/view?usp=sharing
Teaching,Framing transparency as an ethical responsibility in PhD data science,Casey Canfield,lightning,https://youtu.be/YMqsIWu_7ZA,https://drive.google.com/file/d/1lng8xdBkVDKXD_gzJzt980_ps9XtvRNF/view?usp=sharing
Teaching,University Libraries for R: Supporting R useR!s,"Maze Ndukum, Dorris Scott, Marcy Vana",lightning,https://youtu.be/THOaiWGW7rw,https://drive.google.com/file/d/1AlZB8QPplXWjqrgQGJXXmQaw_Ndv8yGQ/view?usp=sharing
Time Series,LDATS: Latent Dirichlet Allocation Coupled with Time Series Analyses,Juniper Simonis,regular,https://youtu.be/ezjOj8lPLfg,https://drive.google.com/file/d/1Jd7nNUBTEKlnBv016iF1rBFptnokH7Ws/view?usp=sharing
Time Series,muHVT: Case based computational geometry modeling toolkit using R,Zubin Dowlaty,regular,https://youtu.be/K-eEfnWBE8s,https://drive.google.com/file/d/1dv-ISDAvW94GL0ESHtK9J9ja4ojYkrub/view?usp=sharing
Time Series,An online scheduling approach for distributed additive manufacturing systems,Ícaro Agostino,lightning,https://youtu.be/8wXRir49b9w,https://drive.google.com/file/d/1VtMJT7nUeqfQJxHHER6y00TdRoxY5IOH/view?usp=sharing
