Year,Speaker,Presentation_Type,Title,Keywords
2020,Zubin Dowlaty,regular,muHVT: Case based computational geometry modeling toolkit using R,Time Series
2020,Ícaro Agostino,lightning,An online scheduling approach for distributed additive manufacturing systems,Time Series
2020,Leonardo Silvestri,lightning,"ztsdb, a time-series DBMS for R users",Time Series
2020,Benedict Witzenberger,regular,Doing Journalism with R,Visualization
2020,Gabriel Becker,regular,rtables,Visualization
2020,Steffen Moritz,lightning,Visualization of missing data and imputations in time series,Visualization
2020,Gerrick Aden-Buie,lightning,Your slides are so extra!,Visualization
2020,Christine Chai,poster,Improving accessibility in data visualizations created by ggplot2,Visualization
2020,Alexander Matrunich,regular,Manage your Shiny app users,Web Applications
2020,Juan Pablo Marin Diaz,regular,shi18ny: Internationalization for Shiny Apps,Web Applications
2020,Corey Neskey,lightning,Cybersecurity risk assessment with R,Web Applications
2020,Bo Wang,lightning,metashiny: build Shiny apps with a Shiny app,Web Applications
2020,Mohamed El Fodil Ihaddaden,lightning,Very Easy Web Scraping with ralger,Web Applications
2019,Brent Thorne,lightning,Transitioning between various RMarkdown packages for workflow optimization in academic research; a graduate student's perspective.,Workflow & development
2019,Paul Stevenson,lightning,An Approach to Project Workflow for Professional Biostatistical Services,Workflow & development
2019,Ildiko Czeller,lightning,ropsec: a package for easing operations security for the R user,Workflow & development
2019,Nicoletta Farabullini,lightning,compareWith - user-friendly diff viewing and VCS interaction,Workflow & development
2019,Hannah Frick,lightning,goodpractice - A Tool for Good Package Development,Workflow & development
2019,Jakob Richter,lightning,rt - R Tools for the Command Line,Workflow & development
2019,"Christophe Dervieux, Romain Lesur",lightning,Native Chrome Automation using R,Shiny & web
2019,"Victor Perrier, Fanny Meyer",lightning,Our journey with Shiny : some packages to enhance your applications,Shiny & web
2019,Julio Trecenti,lightning,auth0: Secure Authentication in Shiny with Auth0,Shiny & web
2019,Maxim Nazarov,lightning,Packaging shiny applications,Shiny & web
2019,Abbas Rizvi,lightning,Photon : Building an electron-shiny app using a simple RStudio add in.,Shiny & web
2019,Andreas Wittmann,lightning,Visualizing Huge Amounts of Fleet Data using Shiny and Leaflet,Shiny & web
2019,Dmytro Perepolkin,lightning,{polite} - web etiquette for R users,Text mining
2019,Samuel Borms,lightning,"The R Package sentometrics to Compute, Aggregate and Predict with Textual Sentiment",Text mining
2019,"Cécile Sauder, Jean Delmotte",lightning,BibliographeR : a set of tools to help your bibliographic research,Text mining
2019,Erwan Le Pennec,lightning,ggwordcloud: a word cloud geometry for ggplot2,Text mining
2019,Chung-Hong Chan,lightning,Die Nutella oder Das Nutella? Grammatical Gender Prediction of German Nouns,Text mining
2019,Johannes Müller,lightning,Implementing a Classification and Filtering App for Multilingual Facebook Comments  â€“  A Use Case Of Data For Good with R,Text mining
2019,Nolwenn Le Meur,lightning,queryMed: Linking pharmacological and medical knowledge using semantic Web technologies,Text mining
2019,Quay Au,lightning,fxtract - Feature Extraction from Grouped Data,Methods & applications
2019,Megan Beckett,lightning,Spatial Optimisation with OSRM and R,Methods & applications
2019,Peter Brejcak,lightning,Anomaly detection in trivago,Methods & applications
2019,Angeline Protacio,lightning,Using R and the Tidyverse to Play Fantasy Baseball,Methods & applications
2019,Alicja Fras,lightning,Optimizing children sleeping time using regression and machine learning,Methods & applications
2019,"Enrico Spinielli, Tamara Pejovic",lightning,R in the Air,Spatial & time series
2019,Piotr Wójcik,lightning,Measuring inequalities from space. Analysis of satellite raster images with R,Spatial & time series
2019,Florence Carpentier,lightning,SILand: an R package for estimating the spatial influence of landscape,Spatial & time series
2019,Rodelyn Jaksons,lightning,Spatio-temporal Analysis of Diabrotica Emergence,Spatial & time series
2019,Annette Scheffer,lightning,Navigating spatial data management and analysis in Sustainable Fisheries using a combined R-Python approach,Spatial & time series
2019,Kim Antunez,lightning,Dealing with the change of administrative divisions over time,Spatial & time series
2019,Gregor De Cillia,lightning,"persephone, seasonal adjustment with an object-oriented wrapper for RJDmetra",Spatial & time series
2019,Caterina Constantinescu,lightning,Adjusting reviewer scores for a fairer assessment via multi-faceted Rasch modelling,Models & methods
2019,Marie Perrot-Dockès,lightning,Penalized regressions to study multivariate linear models : the VariSel package.,Models & methods
2019,Christophe Dutang,lightning,"Maximum spacing estimation, a new method in fitdistrplus",Models & methods
2019,Marc Choisy,lightning,rama: an R interface to the GAMA agent-based modeling platform,Models & methods
2019,Kaeding Matthias,lightning,RcppGreedySetCover: Scalable Set Cover,Models & methods
2019,Mickaël Binois,lightning,The GPareto and GPGame packages for multi and many objective Bayesian optimization,Models & methods
2019,Saras Windecker,lightning,Open-access software for research: beyond data analysis,"Open science, education & community"
2019,Angela Li,lightning,Teaching reproducible spatial analysis in R,"Open science, education & community"
2019,William Chase,lightning,"Use aRt to learn algorithms, math, and R","Open science, education & community"
2019,Beatriz Milz,lightning,The evolution and importance of the R-Ladies SÃ£o Paulo chapter in Brazil,"Open science, education & community"
2019,Binod Jung Bogati,lightning,Building Active Community at Your Place,"Open science, education & community"
2019,Eyitayo Alimi,lightning,Scaling useR Communities with Engagement and Retention Models,"Open science, education & community"
2019,Balazi Peter,lightning,The transition from conventional tools in banking to R,Switching to R
2019,Christophe Genolini,lightning,"R++, a new Graphical User Interface for R",Switching to R
2019,Kieran Martin,lightning,R in Pharma: A tailored approach to converting programmers to R in an industry resistant to change,Switching to R
2019,Kevin Kuo,lightning,Community Driven Data Science in Insurance,Switching to R
2019,Alexander Kowarik,lightning,unconfUROS and one of its outputs vornoiTreemap,Switching to R
2019,Konstantinos Soulanis,lightning,An R implementation of a model-based estimator  â€“  a UK case study,Switching to R
2019,Roxane Legaie,lightning,Using advanced R packages for the visualisation of clinical data in a cancer hospital setting,Switching to R
2019,Romane Poinsot,lightning,A Shiny Webapp for nutritional reformulation of food products according to French front-of-pack â€œNutri-Scoreâ€ label.,Biostatistics & epidemiology
2019,Fiona Grimm,lightning,Using Shiny to track winter pressures in the UK National Health Service (NHS),Biostatistics & epidemiology
2019,Thomas Petzoldt,lightning,antibioticR: An R package to identify resistant populations in environmental bacteria,Biostatistics & epidemiology
2019,Daniela Mariosa,lightning,MR studies in R: how to use genetic information for identifying modifiable risk factors,Biostatistics & epidemiology
2019,Volha Tryputsen,lightning,Streamlining complex analyses of in-vivo data with INVIVOLDA shiny application,Biostatistics & epidemiology
2019,Aritz Adin,lightning,A shiny web application for disease mapping. Making easy the fit of spatio-temporal models.,Biostatistics & epidemiology
2019,"Aarón Ayllón-Benítez, Patricia Thebault",lightning,rGSAn: a R package dedicated to the gene set analysis using semantic similarity measures.,Bioinformatics & biostatistics
2019,"Goknur Giner, Alexandra Garnham",lightning,Pathway-VisualiseR: An Interactive Web Application for Visualising Gene Networks,Bioinformatics & biostatistics
2019,Víctor Granda,lightning,Compiling a global database of sapflow measurements with R: Workflow and tools for the SAPFLUXNET database,Bioinformatics & biostatistics
2019,Fabiola La Gamba,lightning,Bayesian sequential integration within a preclinical PK/PD modeling framework using rstan package: Lessons learned,Bioinformatics & biostatistics
2019,Boris Hejblum,lightning,VICI: a Shiny app for accurate estimation of Vaccine Induced Cellular Immunogenicity with bivariate modeling,Bioinformatics & biostatistics
2019,Marion Louveaux,lightning,Tools for 3D/4D interactive visualisation of cells and biological tissue,Bioinformatics & biostatistics
2019,Deniz Topcu,lightning,Analysis of laboratory test requests in a university hospital: A Shiny App for association analysis as a demand management tool,Bioinformatics & biostatistics
2019,Kamil Wais,full,Logging and Analyzing Events in Complex Shiny Apps,Shiny 1
2019,Hannah De Los Santos,full,mwshiny: Connecting Shiny Across Multiple Windows,Shiny 1
2019,"Riccardo Porreca, Roland Schmid",full,Shiny app deployment and integration into a custom website gallery,Shiny 1
2019,Machteld Varewyck,full,Automated Surveys and Reports for Expert Elicitation with Shiny,Shiny 1
2019,Eric Lecoutre,full,Machine Learning with R: do it with a framework,Data mining
2019,Erin LeDell,full,Building and Benchmarking Automatic Machine Learning Systems,Data mining
2019,Michel Lang,full,mlr3: A new modular framework for machine learning with R,Data mining
2019,Bernd Bischl,full,mlr3pipelines: Machine Learning Pipelines as Graphs,Data mining
2019,Savin Goyal,full,Machine Learning Infrastructure at Netflix,Model deployment
2019,Angus Taylor,full,Deploying machine learning models at scale,Model deployment
2019,"Christoph Bodner, Thomas Laber",full,Serverless Computing for R,Model deployment
2019,David Smith,full,A DevOps process for deploying R to production,Model deployment
2019,Friedrike Preu,full,Authentication and authorization in plumber with the sealr package,Model deployment
2019,Hadley Wickham,full,Enhancements to data tidying,Data handling
2019,Romain Francois,full,n() cool #dplyr things,Data handling
2019,Zhuo Jia Dai,full,You don't need Spark for this - larger-than-RAM data manipulation with disk.frame,Data handling
2019,Yves Croissant,full,Data frames for grouped data: the gdata.frame package,Data handling
2019,Thierry Onkelinx,full,git2rdata: storing dataframes in a plain text format suitable for version control,Data handling
2019,Scott Chamberlain,full,HTTP Requests For R Users and Package Developers,Programming 1
2019,Colin Gillespie,full,R and security,Programming 1
2019,Jennifer Bryan,full,DRY out your workflow with the usethis package,Programming 1
2019,Lionel Henry,full,"Reusing tidyverse code, the easy way",Programming 1
2019,Davis Vaughan,full,Simple Arrays,Programming 1
2019,Gábor Csárdi,full,pak: a fresh approach to package installation,Performance
2019,Arun Srinivasan,full,Summary of developments in R's data.table package,Performance
2019,Jim Hester,full,Real-time file import with the vroom package,Performance
2019,Henrik Bengtsson,full,A Future for R: Simplified Parallel and Distributed Processing,Performance
2019,Stepan Sindelar,full,FastRCluster: running FastR from GNU-R,Performance
2019,"Georges Monette, John Fox",full,A Generalized Framework for Parametric Regression Splines,Models 1
2019,Michela Battauz,full,Regularized estimation of the nominal response model,Models 1
2019,Alessandro Gasparini,full,merlin - mixed effects regression for linear and nonlinear models,Models 1
2019,Ruggero Bellio,full,Modern likelihood-frequentist inference with the likelihoodAsy package,Models 1
2019,Genaro Sucarrat,full,General-to-Specific (GETS) Modelling with User-Specified Estimators and Models,Models 1
2019,"Ghislain Vieilledent, Jeanne Clément",full,Using Rcpp* packages for easy and fast Gibbs sampling MCMC from within R,Models 2
2019,Elias Krainski,full,A toolbox for fitting non-separable space-time log-Gaussian Cox models using R-INLA,Models 2
2019,Wei Jiang,full,Adaptive Bayesian SLOPE -- High-dimensional Model Selection with Missing Values,Models 2
